origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank
2023-12-20,ARI incidence,2023-12-24,2,HU,respicast,hubEnsemble,WIS,158.062307282768,-0.15427918999486545,7,4
2023-12-20,ARI incidence,2023-12-24,2,HU,respicast,quantileBaseline,WIS,136.93594119415,0.0,7,2
2023-12-20,ARI incidence,2023-12-24,2,LT,ECDC,ARI2MA,WIS,75.8326029208594,0.004395741247140039,7,1
2023-12-20,ARI incidence,2023-12-24,2,LT,ECDC,norrsken_blue,WIS,1215.54661317208,-14.958879666173841,7,7
2023-12-20,ARI incidence,2023-12-24,2,LT,ECDC,norrsken_green,WIS,1102.75314269789,-13.478017144801408,7,6
2023-12-20,ARI incidence,2023-12-24,2,LT,ISI,AriABCaster,WIS,177.540811575626,-1.3309286678660288,7,3
2023-12-20,ARI incidence,2023-12-24,2,LT,ISI,GenLogModelAri,WIS,286.929814094358,-2.7670940185666484,7,5
2023-12-20,ARI incidence,2023-12-24,2,LT,respicast,hubEnsemble,WIS,177.571913895153,-1.3313370094049635,7,4
2023-12-20,ARI incidence,2023-12-24,2,LT,respicast,quantileBaseline,WIS,76.1674151694076,0.0,7,2
2023-12-20,ARI incidence,2023-12-24,2,LU,ECDC,ARI2MA,WIS,28973.3830787589,-0.000203823402185499,5,4
2023-12-20,ARI incidence,2023-12-24,2,LU,ECDC,norrsken_blue,WIS,28025.6770000249,0.0325123851549769,5,2
2023-12-20,ARI incidence,2023-12-24,2,LU,ECDC,norrsken_green,WIS,27330.3037673383,0.05651769251359784,5,1
2023-12-20,ARI incidence,2023-12-24,2,LU,respicast,hubEnsemble,WIS,28973.3830787589,-0.000203823402185499,5,4
2023-12-20,ARI incidence,2023-12-24,2,LU,respicast,quantileBaseline,WIS,28967.4788286713,0.0,5,3
2023-12-20,ARI incidence,2023-12-24,2,LV,ECDC,ARI2MA,WIS,84.0157037143861,0.007508859615024899,7,2
2023-12-20,ARI incidence,2023-12-24,2,LV,ECDC,norrsken_blue,WIS,64.5191251886518,0.23782510525872957,7,1
2023-12-20,ARI incidence,2023-12-24,2,LV,ECDC,norrsken_green,WIS,327.586214397217,-2.8698291048869606,7,6
2023-12-20,ARI incidence,2023-12-24,2,LV,ISI,AriABCaster,WIS,420.512438268568,-3.9675816657091616,7,7
2023-12-20,ARI incidence,2023-12-24,2,LV,ISI,GenLogModelAri,WIS,312.497134172369,-2.6915793518332887,7,5
2023-12-20,ARI incidence,2023-12-24,2,LV,respicast,hubEnsemble,WIS,306.281828592281,-2.6181569385188315,7,4
2023-12-20,ARI incidence,2023-12-24,2,LV,respicast,quantileBaseline,WIS,84.6513387331573,0.0,7,3
2023-12-20,ARI incidence,2023-12-24,2,RO,ECDC,ARI2MA,WIS,125.21172253794,0.20778893966822853,7,3
2023-12-20,ARI incidence,2023-12-24,2,RO,ECDC,norrsken_blue,WIS,162.324467005253,-0.027022354756407907,7,5
2023-12-20,ARI incidence,2023-12-24,2,RO,ECDC,norrsken_green,WIS,433.520487814766,-1.7428719800833186,7,7
2023-12-20,ARI incidence,2023-12-24,2,RO,ISI,AriABCaster,WIS,56.8973776101651,0.6400118860038193,7,1
2023-12-20,ARI incidence,2023-12-24,2,RO,ISI,GenLogModelAri,WIS,203.638179838324,-0.2884130583290092,7,6
